,Year,papers
0,2002,0
1,2003,0
2,2004,0
3,2005,0
4,2006,0
5,2007,0
6,2008,0
7,2009,0
8,2010,0
9,2011,0
10,2012,0
11,2013,0
12,2014,0
13,2015,0
14,2016,0
15,2017,0
16,2018,3
17,2019,10
18,2020,21
19,2021,33
