,year,Machine Learning,Neural Network,AI
0,2002,0,0,0
1,2003,0,8,0
2,2004,0,9,15
3,2005,0,8,6
4,2006,0,0,8
5,2007,0,8,0
6,2008,0,2,0
7,2009,0,0,0
8,2010,0,0,0
9,2011,0,0,5
10,2012,0,0,0
11,2013,0,0,4
12,2014,0,0,14
13,2015,0,0,0
14,2016,0,0,8
15,2017,0,0,10
16,2018,3,12,10
17,2019,10,0,7
18,2020,21,14,2
19,2021,33,17,10
